"name","count","topcode","tricky","url","notes"
"U.S. Chamber of Commerce",625,"Trade Associations",,,
"National Association of Manufacturers",380,"Unions",,,
"AFL-CIO",361,"Unions",,,
"National Education Association",359,"Unions",,,
"Public Citizen",242,"Issue Advocacy",,,
"National Taxpayers Union",241,"Issue Advocacy",,,
"National Taxpayers Union",241,,,,
"Sierra Club",224,"Issue Advocacy",,,
"American Federation of State, County and Municipal Employees",221,,,,
"American Federation of State, County and Municipal Employees",221,"Unions",,,
"American Civil Liberties Union",219,"Issue Advocacy",,,
"American Civil Liberties Union",219,,,,
"American Civil Liberties Union",219,,,,
"American Civil Liberties Union",219,,,,
"American Civil Liberties Union",219,,,,
"American Civil Liberties Union",219,,,,
"Americans for Tax Reform",215,"Issue Advocacy",,,
"Americans for Tax Reform",215,,,,
"Natural Resources Defense Council",212,"Issue Advocacy",,,
"Natural Resources Defense Council",212,,,,
"U.S. PIRG",208,,,,
"U.S. PIRG",208,,,,
"U.S. PIRG",208,,,,
"U.S. PIRG",208,,,,
"U.S. PIRG",208,"Issue Advocacy",,,
"American Bankers Association",193,"Trade Associations",,,
"National Association for the Advancement of Colored People",192,"Issue Advocacy",,,
"Service Employees International Union",188,"Unions",,,
"Consumer Federation of America",186,,,,
"Consumer Federation of America",186,"Issue Advocacy",,,
"FreedomWorks",184,,,,
"FreedomWorks",184,,,,
"FreedomWorks",184,"Issue Advocacy",,,
"Consumers Union",174,,,,
"Consumers Union",174,"Issue Advocacy",,,
"Consumers Union",174,,,,
"National Retail Federation",165,"Trade Associations",,,
"National Retail Federation",165,,,,
"Independent Community Bankers of America",158,"Trade Associations",,,
"Heritage Foundation",157,"Issue Advocacy",,,
"Heritage Foundation",157,,,,
"Heritage Foundation",157,,,,
"Heritage Foundation",157,,,,
"American Federation of Teachers",155,"Unions",,,
"American Federation of Teachers",155,,,,
"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",151,,,,
"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",151,,,,
"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",151,"Unions",,,
"American Farm Bureau Federation",150,"Trade Associations",1,,
"Americans for Prosperity",142,,,,
"Americans for Prosperity",142,,,,
"Americans for Prosperity",142,"Issue Advocacy",,,
"United Steelworkers",142,"Unions",,,
"Business Roundtable",139,"Trade Associations",,,
"National Federation of Independent Business",134,"Trade Associations",,,
"American Federation of Government Employees",133,,,,
"American Federation of Government Employees",133,,,,
"American Federation of Government Employees",133,"Unions",,,
"International Brotherhood of Teamsters",131,,,,
"International Brotherhood of Teamsters",131,"Unions",,,
"Leadership Conference on Civil and Human Rights",130,"Issue Advocacy",,,
"National Women's Law Center",129,,,,
"National Women's Law Center",129,"Issue Advocacy",,,
"National Council of La Raza",126,,,,
"National Council of La Raza",126,,,,
"National Council of La Raza",126,"Issue Advocacy",,,
"National Association of Home Builders",123,"Trade Associations",,,
"Small Business & Entrepreneurship Council",118,,,,
"Small Business & Entrepreneurship Council",118,"Trade Associations",,,
"Americans for Financial Reform",117,"Issue Advocacy",,,
"American Legion",116,,,,
"American Legion",116,,,,
"American Legion",116,,,,
"American Legion",116,"Issue Advocacy",1,,
"Associated Builders & Contractors",115,"Trade Associations",,,
"Associated General Contractors of America",115,"Trade Associations",,,
"American Petroleum Institute",115,"Trade Associations",1,,
"Retail Industry Leaders Association",113,,,,
"Retail Industry Leaders Association",113,,,,
"Retail Industry Leaders Association",113,"Trade Associations",,,
"National Association of Realtors",112,"Trade Associations",,,
"National Association of Realtors",112,,,,
"National Association of Realtors",112,,,,
"National Organization for Women",110,,,,
"National Organization for Women",110,"Issue Advocacy",,,
"League of Conservation Voters",108,"Issue Advocacy",,,
"League of Conservation Voters",108,,,,
